CustAcct,CustomerName,ItemCode,ItemType,ItemDescription,ItemExtendedDescription,ItemCategory,CategoryDescription,ItemSubCat,SubCatDescription,SalesClass,CPTaxFlag,CPComFlag,PriceUnit,ListPrice,CurrentPrice,PriceOpt,PriceSource,CurPriceMargin,CurRebateFlag,CurRebateCost,LastPricePaid,LastPriceMargin,LastQtyOrdered,StockUnit,VMIParStock,FirstSaleDate,LastSaleDate,NextSaleDate,CPPrintOnOrderForm,CPPriceOptDesc,CPPriceCtrl,CPPriceOpt,CPPriceBrkt,CPPricePct,CPSpecialPrice,SpecialPriceChgFlag,SpecialPriceMargin,CPNotesDate,CPNotes1,CPNotes2,CPNotes3,CPNotesAddToOrder,MSDSReqdFlag,MSDSCode,MSDSDescription,MSDSDueFlag,MSDSSentFlag,MSDSSentDate,CorpMaxOrderQty,CorpCurrentBudgetQty,CorpLastBudgetQty,SalesmanName,SupplierAcct,SmanCode,SupplierName,CustomerPartNum,SupplierPartNum,JMCatItemFlag,PricingClassDesc,PricingClassCode,CustID,ItemID,ItemSubCatID,SmanID,VendorID,,
100000,RANDY FRONTZ,BOX161616-SC-EA,I,"CORRUGATED BOX SCORED @14""&12""",,0,,340-A,BOXES CORRUGATED CARTON,,Y,Y,EA,2.61,0,S,S    CProd,0,N,0,0,0,6,EA,0,5/12/2006,5/12/2006,,Y,Use Special Price,S,S,,0,0,+,0,,,,,N,N,,(No MSDS Sheet Required),N,N,,0,0,0,Randy Frontz,BOXPAC,10,"BOX ACQUISITIONS, LLC",,10124575,Y,(UnAssigned),,10001,104347,722,11,10067,,
100000,RANDY FRONTZ,BOX241212-EA,I,CORRUGATED BOX,24X12X12,0,,340-A,BOXES CORRUGATED CARTON,X,Y,Y,EA,2.27,0,S,S    CProd,0,N,0,0,0,4,EA,0,5/12/2006,5/12/2006,,Y,Use Special Price,S,S,,0,0,+,0,,,,,N,N,,(No MSDS Sheet Required),N,N,,0,0,0,Randy Frontz,BOXPAC,10,"BOX ACQUISITIONS, LLC",,10070427,Y,(UnAssigned),,10001,104373,722,11,10067,,
100000,RANDY FRONTZ,24X17X17-EA,I,CORRUGATED BOX,,99,NON STOCK & SPECIAL ORDERS,99-ZY,UFS OBSOLETED ITEMS,X,Y,Y,EA,2.41,0,S,S    CProd,0,N,0,0,0,15,EA,0,7/18/2012,7/20/2012,,Y,Use Special Price,S,S,,0,0,+,0,,,,,N,N,,(No MSDS Sheet Required),N,N,,0,0,0,Randy Frontz,EXPPAC,10,EXPRESS PACKAGING INC.,,24X17X17,N,(UnAssigned),,10001,104374,521,11,10098,,
100000,RANDY FRONTZ,BOX-242424-EA,I,CORRUGATED BOX 24X24X24,,0,,340-A,BOXES CORRUGATED CARTON,,Y,Y,EA,7.49,5.35,P30,P30  CProd,29.9757,N,0,,,,EA,0,,,,Y,30% Profit Margin,P30,P,,30,0,+,0,3/6/2023,,,,N,N,,(No MSDS Sheet Required),N,N,,0,0,0,Randy Frontz,BOXPAC,10,"BOX ACQUISITIONS, LLC",,242424,Y,(UnAssigned),,10001,104376,722,11,10067,,
100000,RANDY FRONTZ,ID-210130-CS,I,54X108 2-PLY WHITE POLY-PAPER,TABLECOVER 25/CS,0,,200-B,TABLECOVERS,,Y,Y,CS,101.96,0,S,S    CProd,0,N,0,0,0,1,CS,0,9/10/2015,9/10/2015,,Y,Use Special Price,S,S,,0,0,+,0,,,,,N,N,,(No MSDS Sheet Required),N,N,,0,0,0,Randy Frontz,DADEP100,10,DADE PAPER,,210130,Y,(UnAssigned),,10001,104728,689,11,10306,,
100000,RANDY FRONTZ,ID-12SJ20-CS,I,12oz SQUAT FOAM FOOD CONTAINER,20JL LID 500/CS,0,,210-A,BOWLS FOAM,,Y,Y,CS,81.92,49.15,S,S    CProd,0,N,0,49.15,0,1,CS,0,8/25/2021,6/27/2025,4/3/2026,Y,Use Special Price,S,S,,0,49.15,+,0,,,,,N,N,,(No MSDS Sheet Required),N,N,,0,0,0,Randy Frontz,DADEP100,10,DADE PAPER,,82152,Y,(UnAssigned),,10001,105040,651,11,10306,,
100000,RANDY FRONTZ,ID-16J16-CS,I,16oz WHITE FOAM CUP(16SL),DART 1000/CS,0,,220-A,CUPS FOAM,,Y,Y,CS,125.38,56.9,P0,P0   CProd,0,N,0,64.26,0,2,CS,0,6/7/2006,11/2/2023,10/22/2028,Y,,P0,P,,0,40.35,+,0,,,,,N,N,,(No MSDS Sheet Required),N,N,,0,0,0,Randy Frontz,DADEP100,10,DADE PAPER,,81163,Y,(UnAssigned),,10001,105042,653,11,10306,,
100000,RANDY FRONTZ,BOX-161616-EA,I,CORRUGATED BOX 16X16X16,,0,,340-A,BOXES CORRUGATED CARTON,,Y,Y,EA,3.76,0,S,S    CProd,0,N,0,0,0,15,EA,0,6/26/2019,6/26/2019,,Y,Use Special Price,S,S,,0,0,+,0,,,,,N,N,,(No MSDS Sheet Required),N,N,,0,0,0,Randy Frontz,BOXPAC,10,"BOX ACQUISITIONS, LLC",,161616,Y,(UnAssigned),,10001,105092,722,11,10067,,
100000,RANDY FRONTZ,SB-BLEACH-CS,I,HOUSEHOLD BLEACH 6% 6/1GL,128oz,0,,130-M,CHEMICAL BLEACH,,Y,Y,CS,38.8,0,S,S    CProd,0,N,0,0,0,2,CS,0,10/12/2016,10/12/2016,,Y,Use Special Price,S,S,,0,0,+,0,,,,,N,N,,(No MSDS Sheet Required),N,N,,0,0,0,Randy Frontz,DADEP100,10,DADE PAPER,,G00077,Y,(UnAssigned),,10001,106038,635,11,10306,,
100000,RANDY FRONTZ,ID-9PWCR-CS,I,"9"" FOAM PLATE DART 500/CS",,0,,230-B,PLATES FOAM,,Y,Y,CS,49.89,0,S,S    CProd,0,N,0,0,0,1,CS,0,5/22/2008,11/19/2018,,Y,Use Special Price,S,S,,0,0,+,0,,,,,N,N,,(No MSDS Sheet Required),N,N,,0,0,0,Randy Frontz,DADEP100,10,DADE PAPER,,287514,Y,(UnAssigned),,10001,107633,648,11,10306,,
