CustAcct,CustomerName,Address1,Address2,City,State,Zip,OfficePhone,OfficeFax,OfficeContactFirstName,OfficeContactLastName,OfficeContactEmailAddress,SalesContactFirstName,ARContactFirstName,SalesContactLastName,SalesContactEmailAddress,ARContactLastName,ARContactEmailAddress,CCContactFirstName,CCContactLastName,CCContactEmailAddress,WebAddress,BranchCode,SmanCode,SalesmanName,MarketGroup,MarketGroupDescription,TaxAreaCode,TaxAreaDescription,FedTaxFlag,FedTaxAreaCode,FedTaxResaleNum,FedTaxAreaDescription,Terms,LastSaleDate,CreditLimit,CreditComments1,CreditComments2,CurBalance,AgeBal1,AgeBal2,AgeBal3,AgeBal4,AgeBal5,AgeBal6,Carrier,FOB,FrtPpdCollect,TaxFlag,ResaleTaxNum,CustDiscRate,ComFlag,CustComRate,ServiceChgFlag,PrintStatementFlag,DeliveryRouteCode,DeliverySeqNum,DeliveryRouteDesc,PrintPricesOnPickFlag,ShipToFlag,NumShipTos,PrimaryShipToCode,PrimaryShipCustomerName,PrimaryShipAddress1,PrimaryShipAddress2,PrimaryShipCity,PrimaryShipState,PrimaryShipZip,PrimaryShipAttention,PrimaryShipInstructions1,PrimaryShipInstructions2,PrimaryShipInstructions3,CustPriceOptDesc,CustPriceCtrl,CustPriceOpt,CustPriceBrkt,CustPricePct,CustPriceChgCtrl,Comments1,Comments2,Comments3,BillingInstructions1,BillingInstructions2,ShippingInstructions1,AutoCreditHoldOpt,ShippingInstructions2,ShippingInstructions3,PORequiredFlag,BlanketPONum,WHCode,PmtGroupCode,PmtGroupDescription,PricingClassCode,PricingClassDesc,ChargeFrtFlag,TaxFrtFlag,KeyCust,SalesClass,CalcClass,CustStatus,OEAddCustPartNumLineFlag,JMCatCustFlag,CSSCustFlag,CSRLastLoginDate,CSRTotLogins,CSRFirstLoginDate,CSRCurLogins,CorpAcctCode,CorpCurrentBudget,CorpLastBudget,CorpMaxOrderTotal,InvcIssueOpt,InvcIssueContact,InvcCopySendFlag,InvcCopySendVia,InvcCopyContact,SendInvcWithDeliveryFlag,OrderConfirmSendFlag,OrderConfirmSendVia,OrderConfirmContact,OrderConfirm2SendVia,OrderConfirm2Contact,ShipNoticeSendFlag,ShipNoticeSendVia,ShipNoticeContact,Field1,Field2,SetupTimeStamp,SetupByUser,LastModifyTimeStamp,LastModifyByUser,ObsoleteFlag,CustID
^SERVICE,Service Dept/Stock Machines,,,,,,,,,,,,,,,,,,,,,FLORIDASALES,10,Randy Frontz,0,(UNASSIGNED),DV,Duval County,N,,,(UnAssigned),NET 30,,0,,,0,0,0,0,0,0,0,Best Way,Destination,P,Y,,0,Y,0,N,P,0,0,(UnAssigned),N,N,0,,,,,,,,,,,,Use Item Price,i,I,,0,+,,,,,,,,,,N,,0,,(UnAssigned),Y,N,,(UnAssigned),,,E,I,N,Y,N,,,0,0,0,0,0,0,P,,N,E,,N,N,E,,E,,N,E,,,,5/20/2008 3:03:03 PM,,9/11/2009 4:43:30 PM,CMS,N,101
100000,RANDY FRONTZ,545 EAST 4TH STREET,,JACKSONVILLE,FL,32206,904-838-2033,904-355-2534,RANDY,FRONTZ,rfrontz@fsuflsales.com,,,,,,,,,,,FLORIDASALES,10,Randy Frontz,0,(UNASSIGNED),DV,Duval County,N,,,(UnAssigned),NET 30,4/6/2026,1000,,,276.88,42.81,0,0,0,0,52.84,Best Way,Destination,P,Y,,0,Y,0,N,P,0,0,(UnAssigned),N,N,0,,,,,,,,,,,,Use Item Price,i,I,,0,+,,,,,,,,,,N,,0,,(UnAssigned),N,N,,(UnAssigned),,,D,A,N,Y,N,,,0,0,0,0,0,0,M,RANDY,N,E,RANDY,N,Y,E,RANDY,E,,N,E,,11,,8/14/2009 2:44:00 PM,CMS,7/13/2016 2:43:08 PM,RANDY,N,10001
100001,UNLIMITED FLORIDA SALES,DEMO,,,,,,,,,,,,,,,,,,,,FLORIDASALES,10,Randy Frontz,0,(UNASSIGNED),DV,Duval County,N,,,(UnAssigned),NET 30,8/15/2024,10000,,,0,0,0,0,0,0,0,Best Way,Destination,P,N,,0,Y,0,N,P,0,0,(UnAssigned),N,N,0,,,,,,,,,,,,0% Profit Margin,p0,P,,0,+,,,,,,,,,,N,,0,,(UnAssigned),Y,N,,(UnAssigned),,,E,I,N,Y,N,,,0,0,0,0,0,0,P,,N,E,,N,N,E,,E,,N,E,,11,,8/14/2009 2:44:00 PM,CMS,3/26/2024 12:47:18 PM,NATE,N,10002
100185,ATAC NODE FISC JAX,BLDG 110 DOOR 29,NAVAL AIR STATION,JACKSONVILLE,FL,32212,904-542-1635,904-542-9859,ROBIN,LEWIS,,,,,ROBIN,LEWIS,,,,,,FLORIDASALES,10,Randy Frontz,0,(UNASSIGNED),DV,Duval County,N,,,(UnAssigned),NET 30,,5000,,,0,0,0,0,0,0,0,Best Way,Destination,P,N,26-00-109615-51C,0,Y,0,N,P,0,0,(UnAssigned),N,N,0,,,,,,,,,,,,Use Item Price,i,I,,0,+,,,,,,,,,,N,,0,,(UnAssigned),Y,N,,(UnAssigned),,,E,I,N,Y,N,,,0,0,0,0,0,0,P,,N,E,,N,N,E,,E,,N,E,,11,,8/14/2009 2:44:00 PM,CMS,,,N,10004
100355,C & R MAINTENANCE INC.,JANITORIAL SPECIALIST,550 BALMORAL CIRCLE #204,JACKSONVILLE,FL,32218,904-757-4991,904-757-2081,RON/SYLVIA,DOBSON,,,,,RON/SYLVIA,DOBSON,,,,,,FLORIDASALES,10,Randy Frontz,0,(UNASSIGNED),DV,Duval County,N,,,(UnAssigned),CREDIT CARD,7/29/2013,2500,,,0,0,0,0,0,0,0,Best Way,Destination,P,Y,,0,Y,0,N,P,2,0,Northside,N,Y,1,1,U.S. BORDER PATROL,489 DUNDAS DR,,JACKSONVILLE,FL,32218,,,,,Use Item Price,i,I,,0,+,,,,,,,,,,N,,0,,(UnAssigned),Y,N,,(UnAssigned),,,E,I,N,Y,N,,,0,0,0,0,0,0,P,,N,E,,N,N,E,,E,,N,E,,45,,8/14/2009 2:44:01 PM,CMS,11/1/2012 9:12:59 AM,JACKIE,N,10006
100356,ACTION GRAPHIX,1843 ATLANTIC BOULEVARD,,JACKSONVILLE,FL,32207,904-396-9600,904-396-9609,VIRGINIA/PHIL,.,VIRGINIA@ACTION-GRAPHIX.COM,,,,VIRGINIA/PHIL,.,VIRGINIA@ACTION-GRAPHIX.COM,,,,WWW.ACTION-GRAPHIX.COM,FLORIDASALES,10,Randy Frontz,0,(UNASSIGNED),DV,Duval County,N,,,(UnAssigned),NET 30,7/9/2015,200,,,0,0,0,0,0,0,0,Best Way,Destination,P,N,26-8013220885-1 *16,0,Y,0,N,P,0,0,(UnAssigned),N,N,0,,,,,,,,,,,,Use Item Price,i,I,,0,+,,,,,,,,,,N,,0,,(UnAssigned),Y,N,,(UnAssigned),,,E,I,N,Y,N,,,0,0,0,0,0,0,P,,N,E,,N,N,E,,E,,N,E,,11,,8/14/2009 2:44:01 PM,CMS,1/14/2016 11:23:56 AM,STEVE,N,10007
100363,CAIN AND BULTMAN INC.,2145 DENNIS STREET,,JACKSONVILLE,FL,32204,904-356-4812,904-798-1047,Evelyn,Miller,emiller@cain-bultman.com,Evelyn,Miller,emiller@cain-bultman.com,Brian,Lubinski,blubinski@cain-bultman.com,,,,,FLORIDASALES,24,Artie Hardie - Existing,0,(UNASSIGNED),DV,Duval County,N,,,(UnAssigned),NET 30,4/18/2024,2500,,,0,0,0,0,0,0,0,Best Way,Destination,P,Y,26-8012412792-0  *17,0,Y,0,N,P,7,0,Westside,N,Y,1,15,CAIN AND BULTMAN INC.,2145 DENNIS STREET,,,,,,,,,Use Item Price,i,I,,0,+,,,,,,,,,,N,,0,,(UnAssigned),N,N,,(UnAssigned),,,E,A,N,Y,N,,,0,0,0,0,0,0,M,Brian,N,E,,N,N,E,,E,,N,E,,11,,8/14/2009 2:44:02 PM,CMS,6/13/2024 11:28:27 AM,NATE,N,10009
100785,BILL FENWICK PLUMBING,GOLDEN PLUNGER SERVICE,11623 COLUMBIA PARK DRIVE EAST,JACKSONVILLE,FL,32258,904-724-7022,904-724-8869,BOB,SUMMERS,,,,,BOB,SUMMERS,,,,,,FLORIDASALES,10,Randy Frontz,0,(UNASSIGNED),DV,Duval County,N,,,(UnAssigned),NET 30,2/23/2026,1000,,,258.92,0,0,258.92,0,0,0,Best Way,Destination,P,Y,,0,Y,0,N,P,0,0,(UnAssigned),Y,Y,1,10,BILL FENWICK PLUMBING,11623 COLUMBIA PARK DRIVE EAST,,,,,,,,,Use Item Price,i,I,,0,+,,,,,,,,,,N,,0,,(UnAssigned),Y,N,,(UnAssigned),,,D,A,N,Y,N,,,0,0,0,0,0,0,M,Accounts,N,E,,N,N,E,,E,,N,E,,11,,8/14/2009 2:44:02 PM,CMS,4/24/2025 10:09:16 AM,NATE,N,10012
100810,BASKETIQUE,727 KINGSLEY AVE,,ORANGE PARK,FL,32073,904-264-8844,904-264-6760,,,,,,,,,,,,,,FLORIDASALES,10,Randy Frontz,0,(UNASSIGNED),EX,Tax Exempt,N,,,(UnAssigned),CREDIT CARD,12/11/2014,0,,,0,0,0,0,0,0,0,Best Way,Destination,P,N,20-07-015536-55-2,0,Y,0,N,P,6,0,Orange Park,N,N,0,,,,,,,,,,,,Use Item Price,i,I,,0,+,,,,,,,,,,N,,0,,(UnAssigned),Y,N,,(UnAssigned),,,E,I,N,Y,N,,,0,0,0,0,0,0,P,,N,E,,N,N,E,,E,,N,E,,11,,8/14/2009 2:44:03 PM,CMS,1/22/2013 3:03:46 PM,JOHN,N,10013
*101000,CASH 1,,,,,,,,,,,,,,,,,,,,,FLORIDASALES,10,Randy Frontz,0,(UNASSIGNED),DV,Duval County,N,,,(UnAssigned),C.O.D,4/14/2026,2000,,,2058.04,98.59,0,0,0,0,1842.45,PICKUP,Destination,P,Y,,0,Y,0,N,P,13,0,Miscellaneous,Y,Y,5,1001,,,,,,,,,,,Use Item Price,i,I,,0,+,,,,,,,,,,N,,0,,(UnAssigned),N,N,,(UnAssigned),Y,B,D,A,N,Y,N,,,0,0,0,0,0,0,P,,N,E,,Y,N,E,,E,,N,E,,11,,8/14/2009 2:44:03 PM,CMS,4/21/2017 11:54:57 AM,NEAL,N,10014
