PONumber,PODate,LineNum,LineType,VendorAcct,SupplierPartNum,ItemCode,Description,NumOrdered,ExpReceiveDate,NumReceived,DateReceived,NumBO,BOExpReceiveDate,POCost,Amount,TaxableAmt,TaxFlag,PurchUnitShipWgt,PurchUnitShipCubes,TotalShipWgt,TotalShipCubes,Carrier,StockUnit,PurchUnit,PurchStockMult,StockQtyOrdered,StockQtyReceived,StockQtyBO,PurchCostUnit,PurchCostMult,CostRoundCtrl,StockUnitCost,StockUnitLandedCost,SpecialOrderFlag,SpecialOrderNum,SpecialOrderCustAcct,SpecialOrderCustName,HazMatFlag,HazMatCode,OneTimeCostFlag,,
200000,9/14/2009,1,N,LADPRO,LD-00630-CS,LD-00630,30X30 2MIL POLY BAG 250/CS,10,,10,9/14/2009,0,,48.22,482.2,0,N,0,0,0,0,UPS,CS,CS,1,10,10,0,CS,1,4,48.22,48.22,N,,,,N,,N,,
200000,9/14/2009,2,I,LADPRO,LP-LT46NC-CS,LT46NC,4X6 4MIL ZIPLOCK BAG(1000),1,,1,9/14/2009,0,,13.07,13.07,0,N,0,0,0,0,UPS,CS,CS,1,1,1,0,CS,1,4,13.07,13.07,N,,,,N,,N,,
200000,9/14/2009,3,I,LADPRO,LP-LT1012NC-CS,3655A,10X12 4MIL ZIPLOCK BAG(1000),1,,1,9/14/2009,0,,31.69,31.69,0,N,0,0,0,0,UPS,CS,CS,1,1,1,0,CS,1,4,31.69,31.69,N,,,,N,,N,,
200001,9/14/2009,1,N,CLECLO,CC-59234-CS,CC-59254,DEBS AEROGREEN FOAM SOAP 4/CS,2,,2,9/15/2009,0,,28.63,57.26,0,N,0,0,0,0,Best Way,CS,CS,1,2,2,0,CS,1,4,28.63,28.63,N,,,,N,,N,,
200002,9/14/2009,1,N,DELCOR,DL-QCL210-RL,QCL210,"2"" QC APPROVAL LABEL 500/RL",5,,5,9/16/2009,0,,11.96,59.8,0,N,0,0,0,0,BEST WAY,RL,RL,1,5,5,0,RL,1,4,11.96,11.96,N,,,,N,,N,,
200003,9/14/2009,1,N,FORPLA,FP-FCCJ4048-CS,FP-FCCJ4048,40X48 1.5ML BLK CANLINER(8/25),150,,152,9/18/2009,0,,24.03,3652.56,0,N,0,0,0,0,BEST WAY,CS,CS,1,150,152,0,CS,1,4,24.03,24.03,N,,,,N,,N,,
200004,9/14/2009,1,I,OKLRIG,495-8975-6,495-8975-6,HEAT GUN,1,,1,9/14/2009,0,,62.7,62.7,0,N,0,0,0,0,BEST WAY,Each,Each,1,1,1,0,Each,1,4,62.7,62.7,N,,,,N,,N,,
200004,9/14/2009,2,I,OKLRIG,495-49-80-0300,495-49-80-0300,ACCESSORY KIT FOR HEAT GUN,1,,0,9/14/2009,1,,30.19,0,0,N,0,0,0,0,BEST WAY,Each,Each,1,1,0,1,Each,1,4,30.19,30.19,N,,,,N,,N,,
200004,9/14/2009,3,I,OKLRIG,ITW-71912-CN,648-71912,SAFETAP TAPPING FLUID 16OZ,12,,12,9/14/2009,0,,5.25,63,0,N,0,0,0,0,BEST WAY,CN,CN,1,12,12,0,CN,1,4,5.25,5.25,N,,,,N,,N,,
200004,9/14/2009,4,N,OKLRIG,OK-101-1216-EA,OK-101-1216,12X16 POLY TARP W/ 3GROMMETS,9,,9,9/14/2009,0,,6.33,56.97,0,N,0,0,0,0,BEST WAY,EA,EA,1,9,9,0,EA,1,4,6.33,6.33,N,,,,N,,N,,
200005,9/14/2009,1,I,OKLRIG,WB-01775-EA,1775,TLN-8 SS WIRE BRUSH,1,,1,9/18/2009,0,,36.69,36.69,0,N,0,0,0,0,BEST WAY,EA,EA,1,1,1,0,EA,1,4,36.69,44.99,N,,,,N,,N,,
200006,9/14/2009,1,I,RITSAF,FM-4118-CLR-EA,4118-CLR,FACESHIELD WINDOW CLEAR,24,,24,9/18/2009,0,,3.95,94.8,0,N,0,0,0,0,THEIR TRUCK,EA,EA,1,24,24,0,EA,1,4,3.95,4.55,N,,,,N,,N,,
