PONumber,PODate,VendorAcct,VendorName,ExpReceiveDate,DateReceived,SpecialInstructions1,SpecialInstructions2,MiscChgDesc,MiscChgAmt,SpecialInstructions3,WHCode,WHDescription,ApprovedBy,ConfirmationNum,NumOrderLines,PurchTotal,TaxableAmt,SalesTaxAmt,FreightAmt,PpdDeposit,TotalDue,CODAmount,TotalShipCubes,TaxAreaCode,TotalShipWgt,TaxAreaDescription,TaxRate,POPendingFlag,StatusCode,Status,POIssuedFlag,IssuedByUser,PODateIssued,POIssueMethod,POPrintedFlag,POReceivedFlag,ReceivedByUser,TransType,TransSource,FiscalYear,PostPeriod,PostPass,PostedFlag,IsBackorderFlag,POInvoicedFlag,InvcNum,POVendorName,POAddress1,POAddress2,POCity,POState,POZip,POCountry,POContactName,POTelephone,POFax,Terms,CODFlag,TaxFlag,Carrier,FrtPpdCol,MinPOAmt,MinPOWgt,MinPOCubes,ShipVendorName,ShipAddress1,ShipAddress2,ShipCity,ShipState,ShipZip,ShipAttention,ShipTelephone,EnteredTimeStamp,EnteredByUser,LastModifyTimeStamp,LastModifiedByUser
216050,3/17/2026,COAST120,COASTAL FILMS OF FLORIDA,,4/17/2026,,,,,0,*MAIN,Main Warehouse,,,2,6569.8,0,0,0,0,6569.8,0,0,0,,(UnAssigned),0,Y,R,Received,Y,NATE,4/10/2026,USMail,N,Y,NATE,PO,PO,2026,4,2,Y,N,N,,COASTAL FILMS OF FLORIDA,627 NORTH LANE AVE,,JACKSONVILLE,FL,32254,,APRIL WARREN,800-442-6781,904-781-6451,(UNASSIGNED),N,N,Best Way,P,0,0,0,Unlimited Florida Sales,545 E. 4th Street,,Jacksonville,FL,32206,,904-355-2033,3/17/2026 10:33:37 AM,NATE,4/10/2026 8:17:07 AM,NATE
216055,3/20/2026,SEATITE,SEAL-TITE PLASTIC PACKAGING CO. INC,,4/17/2026,,,,,0,*MAIN,Main Warehouse,,,1,2991.6,0,0,0,0,2991.6,0,0,0,,(UnAssigned),0,Y,R,Received,Y,JEFF,3/23/2026,USMail,N,Y,NATE,PO,PO,2026,4,2,Y,N,N,,SEAL-TITE PLASTIC PACKAGING CO. INC,4655 SW 74TH AVENUE,,MIAMI,FL,33155,,SHERI CUSTOMER SERVICE,1-305-264-9015,1-305-266-5640,N30,N,N,Best Way,P,0,0,0,Unlimited Florida Sales,545 E. 4th Street,,Jacksonville,FL,32206,,904-355-2033,3/20/2026 11:26:53 AM,JEFF,3/23/2026 3:06:53 PM,JEFF
216075,4/8/2026,PARSTE,PARLIMENT BUILDING PRODUC,,4/17/2026,,,,,0,*MAIN,Main Warehouse,,,1,209.5,0,0,0,0,209.5,0,0,0,,(UnAssigned),0,Y,R,Received,Y,NATE,4/15/2026,USMail,N,Y,NATE,PO,PO,2026,4,2,Y,N,N,,PARLIMENT BUILDING PRODUC,9621 Florida Mining Blvd.,,JACKSONVILLE,FL,32257,,SCOTT .,904/387-8444,904-387-8465,CC,N,N,Best Way,P,0,0,0,Unlimited Florida Sales,545 E. 4th Street,,Jacksonville,FL,32206,,904-355-2033,4/8/2026 11:01:24 AM,NATE,4/15/2026 8:12:38 AM,NATE
216070-2,4/3/2026,DADEP100,DADE PAPER,,4/17/2026,,,,,0,*MAIN,Main Warehouse,,,1,357.36,0,0,0,0,357.36,0,0,0,,(UnAssigned),0,N,R,Received,N,,4/3/2026,,N,Y,NATE,PO,PO,2026,4,2,Y,Y,N,,DADE PAPER,4102 BULLS BAY HIGHWAY #7,,JACKSONVILLE,FL,32219,,,904-783-9490 - EXT 112,904-783-4181,N30,N,N,Best Way,P,200,0,0,Unlimited Florida Sales,545 E. 4th Street,,Jacksonville,FL,32206,,904-355-2033,4/9/2026 11:47:18 PM,DBQ,,
216084,4/14/2026,DADEP100,DADE PAPER,,4/17/2026,,,,,0,*MAIN,Main Warehouse,,,3,566.13,0,0,0,0,566.13,0,0,0,,(UnAssigned),0,Y,R,Received,Y,NATE,4/17/2026,Call,N,Y,NATE,PO,PO,2026,4,2,Y,N,N,,DADE PAPER,4102 BULLS BAY HIGHWAY #7,,JACKSONVILLE,FL,32219,,,904-783-9490 - EXT 112,904-783-4181,N30,N,N,Best Way,P,200,0,0,Unlimited Florida Sales,545 E. 4th Street,,Jacksonville,FL,32206,,904-355-2033,4/14/2026 12:51:03 PM,JEFF,4/17/2026 12:41:39 PM,NATE
216085,4/15/2026,DADEP100,DADE PAPER,,4/17/2026,,,,,0,*MAIN,Main Warehouse,,,4,3241.75,0,0,0,0,3241.75,0,0,0,,(UnAssigned),0,Y,R,Received,Y,NATE,4/15/2026,Call,N,Y,NATE,PO,PO,2026,4,2,Y,N,N,,DADE PAPER,4102 BULLS BAY HIGHWAY #7,,JACKSONVILLE,FL,32219,,,904-783-9490 - EXT 112,904-783-4181,N30,N,N,Best Way,P,200,0,0,Unlimited Florida Sales,545 E. 4th Street,,Jacksonville,FL,32206,,904-355-2033,4/15/2026 2:27:47 PM,NATE,4/15/2026 2:27:47 PM,NATE
216087,4/16/2026,DADEP100,DADE PAPER,,4/17/2026,,,,,0,*MAIN,Main Warehouse,,,5,1610.57,0,0,0,0,1610.57,0,0,0,,(UnAssigned),0,Y,R,Received,Y,NATE,4/16/2026,Call,N,Y,NATE,PO,PO,2026,4,2,Y,N,N,,DADE PAPER,4102 BULLS BAY HIGHWAY #7,,JACKSONVILLE,FL,32219,,,904-783-9490 - EXT 112,904-783-4181,N30,N,N,Best Way,P,200,0,0,Unlimited Florida Sales,545 E. 4th Street,,Jacksonville,FL,32206,,904-355-2033,4/16/2026 2:53:22 PM,NATE,4/16/2026 2:53:22 PM,NATE
216057-1,3/20/2026,DADEP100,DADE PAPER,,4/14/2026,,,,,0,*MAIN,Main Warehouse,,,1,1026.8,0,0,0,0,1026.8,0,0,0,,(UnAssigned),0,N,R,Received,N,,3/20/2026,,N,Y,JEFF,PO,PO,2026,4,2,Y,Y,N,,DADE PAPER,4102 BULLS BAY HIGHWAY #7,,JACKSONVILLE,FL,32219,,,904-783-9490 - EXT 112,904-783-4181,N30,N,N,Best Way,P,200,0,0,Unlimited Florida Sales,545 E. 4th Street,,Jacksonville,FL,32206,,904-355-2033,3/23/2026 11:46:22 PM,DBQ,,
216082,4/10/2026,DADEP100,DADE PAPER,,4/14/2026,,,,,0,*MAIN,Main Warehouse,,,4,2086.7,0,0,0,0,2086.7,0,0,0,,(UnAssigned),0,Y,R,Received,Y,NATE,4/10/2026,Call,N,Y,JEFF,PO,PO,2026,4,2,Y,N,N,,DADE PAPER,4102 BULLS BAY HIGHWAY #7,,JACKSONVILLE,FL,32219,,,904-783-9490 - EXT 112,904-783-4181,N30,N,N,Best Way,P,200,0,0,Unlimited Florida Sales,545 E. 4th Street,,Jacksonville,FL,32206,,904-355-2033,4/10/2026 11:37:58 AM,NATE,4/10/2026 11:37:58 AM,NATE
216083,4/13/2026,DADEP100,DADE PAPER,,4/14/2026,,,,,0,*MAIN,Main Warehouse,,,6,1027.12,0,0,0,0,1027.12,0,0,0,,(UnAssigned),0,Y,R,Received,N,,4/13/2026,,N,Y,JEFF,PO,PO,2026,4,2,Y,N,N,,DADE PAPER,4102 BULLS BAY HIGHWAY #7,,JACKSONVILLE,FL,32219,,,904-783-9490 - EXT 112,904-783-4181,N30,N,N,Best Way,P,200,0,0,Unlimited Florida Sales,545 E. 4th Street,,Jacksonville,FL,32206,,904-355-2033,4/13/2026 2:52:43 PM,JEFF,4/13/2026 2:52:43 PM,JEFF
