VendorAcct,VendorGroupCode,VendorName,Address1,Address2,City,State,Zip,OfficePhone,OfficeFax,WebAddress,OfficeContact,OfficeContactEmailAddress,POContact,POContactEmailAddress,APContact,APContactEmailAddress,ServiceContact,ServiceContactEmailAddress,POVendorName,POAddress1,POAddress2,POCity,POState,POZip,CreditLimit,CreditComments1,CreditComments2,Exp1MajorAcct,Exp2MajorAcct,MinPOAmt,MinPOWgt,MinPOCubes,Terms,Carrier,TaxFlag,FrtPpdCol,CheckType,Eligible1099Flag,Comments1,Comments2,VCustAcctNum,LeadTimeDays,ReviewCycleDays,POIssueOption,Field1,Field2,YTDTotPurchases,CurBalance,AgeBal1,AgeBal2,AgeBal3,AgeBal4,AgeBal5,AgeBal6,PendingOrdersBal,AgeStatus,AgeDelinquentFlag,AgeDelinquentBal,AvePmtDays,FirstIssuePODate,LastIssuePODate,PONumber,LastAPInvcDate,LastAPPmtDate,SetupTimeStamp,SetupBy,LastModifyTimeStamp,LastModifyBy,ObsoleteFlag,VendorID
1ADTSE,AP,Johnson Control (Tyco/ADT),P.O. BOX 371967,,PITTSBURGH,PA,15250,1-800-289-2647,,,,,,,,,,,Johnson Control (Tyco/ADT),P.O. BOX 371967,,PITTSBURGH,PA,15250,0,,,6200,,0,0,0,N10,Best Way,N,P,OI,N,Account # W391037670,,,0,0,Call,,,541.01,1532.65,0,274.14,0,263.22,0,995.29,0,Del,Y,1532.65,12,,,,3/14/2026,12/30/2025,8/14/2009 1:36:45 PM,CMS,2/12/2025 9:05:20 AM,NATE,N,10001
1ALTCO,AP,ALTERNATIVE COMMUNICATION,5215 HIGHWAY AVENUE,SUITE 103,JACKSONVILLE,FL,32254,904/354-2385,,,,,,,,,,,ALTERNATIVE COMMUNICATION,5215 HIGHWAY AVENUE,SUITE 103,JACKSONVILLE,FL,32254,0,,,1200,,0,0,0,N10,Best Way,N,P,OI,N,,,,0,0,Call,,,,0,0,0,0,0,0,0,0,Cur,N,0,8,,,,4/2/2012,4/10/2012,8/14/2009 1:36:45 PM,CMS,9/25/2012 11:30:34 AM,JACKIE,N,10002
1AT&T,AP,AT&T,,P.O. BOX 105503,ATLANTA,GA,30348,904/780-2355,,,,,,,,,,,AT&T,,P.O. BOX 1262,CHARLOTTE,NC,28201,0,,,6480,,0,0,0,N20,Best Way,N,P,OI,N,,,,0,0,Call,,,,0,0,0,0,0,0,0,0,Cur,N,0,15,,,,8/3/2019,8/23/2019,8/14/2009 1:36:45 PM,CMS,12/22/2015 8:15:52 AM,STEVE,N,10003
1CINGU,AP,CINGULAR WIRELESS,P.O. BOX 31488,,TAMPA,FL,33631,,,,,,,,,,,,CINGULAR WIRELESS,P.O. BOX 31488,,TAMPA,FL,33631,0,,,1200,,0,0,0,CC,Best Way,N,P,OI,N,,,,0,0,Call,,,,0,0,0,0,0,0,0,0,Cur,N,0,0,,,,,10/24/2006,8/14/2009 1:36:45 PM,CMS,4/29/2011 4:07:12 PM,JACKIE,N,10004
1CITGO,AP,CITGO LUBE,3227 BEACH BLVD,,JACKSONVILLE,FL,32207,904/306-9393,,,,,,,,,,,CITGO LUBE,3227 BEACH BLVD,,JACKSONVILLE,FL,32207,0,,,1200,,0,0,0,CC,Best Way,N,P,OI,N,,,,0,0,Call,,,,0,0,0,0,0,0,0,0,Cur,N,0,32,,,,7/12/2012,8/13/2012,8/14/2009 1:36:45 PM,CMS,8/25/2009 4:17:56 PM,JACKIE,N,10005
1COMSE,AP,COMPUTERS AT YOUR SERVICE,6034 CHESTER AVE,SUITE 105-A,JACKSONVILLE,FL,32217,904/260-6260,,,,,CRAIG,,,,,,COMPUTERS AT YOUR SERVICE,6034 CHESTER AVE,SUITE 105-A,JACKSONVILLE,FL,32217,0,,,1200,,0,0,0,N10,Best Way,N,P,OI,N,,,,0,0,Call,,,,0,0,0,0,0,0,0,0,Cur,N,0,0,,,,,6/30/2008,8/14/2009 1:36:45 PM,CMS,8/25/2009 4:18:28 PM,JACKIE,N,10006
1ELAND,AP,FLEETCOR TECHNOLOGIES,,P.O. BOX 105080,ATLANTA,GA,30348,800/877-0800,,,,,,,,,,,FLEETCOR TECHNOLOGIES,,P.O. BOX 105080,ATLANTA,GA,30348,0,,,1200,,0,0,0,N10,Best Way,N,P,OI,N,,,,0,0,Call,,,,0,0,0,0,0,0,0,0,Cur,N,0,0,,,,,8/23/2005,8/14/2009 1:36:45 PM,CMS,8/25/2009 4:19:30 PM,JACKIE,N,10007
1FEDEX,AP,FEDEX,P.O. BOX 660481,,DALLAS,TX,75266,800/622-1147,,,,,,,,,,,FEDEX,4103 COLLECTION CENTER DR,,CHICAGO,IL,60693,0,,,1200,,0,0,0,N10,Best Way,N,P,OI,N,,,,0,0,Call,,,,0,0,0,0,0,0,0,0,Cur,N,0,22,,,,12/28/2010,1/18/2011,8/14/2009 1:36:45 PM,CMS,1/30/2014 12:30:39 PM,JOHN,N,10008
1FLREV,AP,FLORIDA DEPT OF REVENUE,,5050 WEST TENNESSEE ST,TALLAHASSEE,FL,32399,,,,,,,,,,,,FLORIDA DEPT OF REVENUE,,5050 WEST TENNESSEE ST,TALLAHASSEE,FL,32399,0,,,1200,,0,0,0,N10,Best Way,N,P,OI,N,,,,0,0,Call,,,,0,0,0,0,0,0,0,0,Cur,N,0,2,,,,2/9/2022,2/9/2022,8/14/2009 1:36:46 PM,CMS,8/25/2009 4:19:38 PM,JACKIE,N,10009
1FRALI,AP,AMERICAN GENERAL LIFE INS COMPANY,PAYMENT PROCESSING CENTER,P.O. BOX 0993,CAROL STREAM,IL,60132-0993,1-800-340-2765,,WWW.AMERICANGENERAL.COM,MIKE,,MIKE,,,,,,AMERICAN GENERAL LIFE INS COMPANY,PAYMENT PROCESSING CENTER,P.O. BOX 0993,CAROL STREAM,IL,60132-0993,0,,,6330,,0,0,0,COD,Best Way,N,P,OI,N,,,,0,0,Call,,,,0,0,0,0,0,0,0,0,Cur,N,0,0,,,,1/30/2023,6/3/2022,8/14/2009 1:36:46 PM,CMS,2/2/2016 11:06:08 AM,STEVE,N,10010
1INSSH,AP,"RECALL-SDS, INC.",,15311 COLLECTION CTR DR.,CHICAGO,IL,60693,866-732-2556,770-689-5276,,,,,,,,,,"RECALL-SDS, INC.",,P.O. BOX 932726,ATLANTA,GA,31193,0,,,6430,,0,0,0,N10,THEIR TRUCK,N,P,OI,N,,,,0,0,Call,,,,0,0,0,0,0,0,0,0,Cur,N,0,22,,,,2/20/2010,3/10/2010,8/14/2009 1:36:46 PM,CMS,10/13/2009 11:10:36 AM,JACKIE,N,10012
1J.E.A,AP,JEA,,P.O. BOX 45047,JACKSONVILLE,FL,32232-5047,904/632-5200,,WWW.JEA.COM,,,,,,,,,TAX COLLECTOR,,P.O. BOX 45047,JACKSONVILLE,FL,32232-5047,0,,,6520,,0,0,0,N10,Best Way,N,P,OI,N,,,,0,0,Call,,,,0,0,0,0,0,0,0,0,Cur,N,0,0,,,,9/6/2022,10/4/2022,8/14/2009 1:36:46 PM,CMS,1/15/2013 8:11:43 AM,LILA,N,10013
1JACMA,AP,NEXTRAN TRUCK CENTER,,P.O. BOX 2880,JACKSONVILLE,FL,32203,904/354-7090,,,,,,,,,,,NEXTRAN TRUCK CENTER,,P.O. BOX 2880,JACKSONVILLE,FL,32203,0,,,1200,,0,0,0,N10,Best Way,N,P,OI,N,,,,0,0,Call,,,,0,0,0,0,0,0,0,0,Cur,N,0,0,,9/21/2007,,,8/27/2008,8/14/2009 1:36:46 PM,CMS,4/16/2012 12:24:25 PM,JACKIE,N,10014
1LYNRO,AP,"MICHAEL CORRIGAN ,TAX COLLECTOR",,231 E. FORSYTH ST. RM 130,JACKSONVILLE,FL,32202-3370,,,,,,,,,,,,"MICHAEL CORRIGAN ,TAX COLLECTOR",,231 E. FORSYTH ST. RM 300,JACKSONVILLE,FL,32202-3345,0,,,2255,,0,0,0,N10,Best Way,N,P,OI,N,,,,0,0,Call,,,,0,0,0,0,0,0,0,0,Cur,N,0,3,,,,12/6/2017,12/6/2017,8/14/2009 1:36:46 PM,CMS,10/28/2015 2:03:34 PM,STEVE,N,10015
1MOSME,AP,"MR. MOSES MEIDE, JR.",,817 NORTH MAIN STREET,JACKSONVILLE,FL,32202,904/354-6673,,,MOSE,,MOSE,,,,,,"MR. MOSES MEIDE, JR.",,817 NORTH MAIN STREET,JACKSONVILLE,FL,32202,0,,,1200,,0,0,0,N10,Best Way,N,P,OI,N,,,,0,0,Call,,,,0,0,0,0,0,0,0,0,Cur,N,0,0,,,,,7/3/2007,8/14/2009 1:36:46 PM,CMS,8/25/2009 4:20:53 PM,JACKIE,N,10016
1NORFL,AP,NORTH FLORIDA FORKLIFT,6376 GREENLAND ROAD #7,,JACKSONVILLE,FL,32258,904-425-0866,904-425-0812,,RON,,RON,,,,,,NORTH FLORIDA FORKLIFT,6376 GREENLAND ROAD #7,,JACKSONVILLE,FL,32258,0,,,1200,,0,0,0,N10,Best Way,N,P,OI,N,,,,0,0,Call,,,812,812,812,0,0,0,0,0,0,Cur,N,0,0,,,,3/23/2026,1/3/2008,8/14/2009 1:36:47 PM,CMS,8/25/2009 4:22:24 PM,JACKIE,N,10017
1PRICO,AP,"PRIORITY COURIERS, INC.",P.O. BOX 16254,,JACKSONVILLE,FL,32245,904/733-0030,904-733-0441,,CHARLES,,CHARLES,,,,,,"PRIORITY COURIERS, INC.",P.O. BOX 16254,,JACKSONVILLE,FL,32245,0,,,6570,,0,0,0,N10,Best Way,N,P,OI,N,,,,0,0,Call,,,,0,0,0,0,0,0,0,0,Cur,N,0,15,,,,10/15/2015,10/30/2015,8/14/2009 1:36:47 PM,CMS,10/26/2015 2:17:49 PM,STEVE,N,10018
1QANTE,AP,QANTEL TECHNOLOGIES,3506 BREAKWATER COURT,,HAYWARD,CA,94545,800/666-3686,510-731-2075,,,,,,,,,,QANTEL TECHNOLOGIES,3506  BREAKWATER COURT,,HAYWARD,CA,94545,0,,,1200,,0,0,0,N10,Best Way,N,P,OI,N,,,,0,0,Call,,,,0,0,0,0,0,0,0,0,Cur,N,0,0,,,,,8/11/2008,8/14/2009 1:36:47 PM,CMS,8/25/2009 4:23:19 PM,JACKIE,N,10019
1RIVCI,AP,RIVERCITY REFRIGERATION,4472 PHILLIPS HIGHWAY,SUITE #A,JACKSONVILLE,FL,32207,904/399-1112,,,,,,,,,,,RIVERCITY REFRIGERATION,4472 PHILLIPS HWY,SUITE #A,JACKSONVILLE,FL,32207,0,,,1200,,0,0,0,N10,Best Way,N,P,OI,N,,,,0,0,Call,,,,0,0,0,0,0,0,0,0,Cur,N,0,0,,,,,6/25/2007,8/14/2009 1:36:47 PM,CMS,8/25/2009 4:23:48 PM,JACKIE,N,10020
1RONPE,AP,"ENNIS,PELLUM & ASSOCIATES",5150 BELFORT ROAD SOUTH,BUILDING 600,JACKSONVILLE,FL,32256,904/396-5965,904-399-4094,,,,,,,,,,"ENNIS,PELLUM & ASSOCIATES",BUILDING 600,5150 BELFORT ROAD SOUTH,JACKSONVILLE,FL,32256,0,,,6360,,0,0,0,N10,Best Way,N,P,OI,N,,,,0,0,Call,,,,0,0,0,0,0,0,0,0,Cur,N,0,78,,,,1/30/2023,7/21/2025,8/14/2009 1:36:47 PM,CMS,10/6/2013 1:15:23 PM,RANDY,N,10021
1RYDER,AP,RYDER TRANSPORTATION,SERVICES,P.O. BOX 402366,ATLANTA,GA,30384,904-781-1661,,,WALLACE,,,,,,,,RYDER TRANSPORTATION,SERVICES,P.O. BOX 402366,ATLANTA,GA,30384,0,,,6190,,0,0,0,N10,Best Way,N,P,OI,N,,,,0,0,Call,,,,0,0,0,0,0,0,0,0,Cur,N,0,5,,,,9/23/2025,10/7/2025,8/14/2009 1:36:47 PM,CMS,9/28/2015 9:35:24 AM,STEVE,N,10022
1SAIA,AP,SAIA MOTOR FREIGHT LINE,P.O. BOX 730532,,DALLAS,TX,75373,800/950-7242,,,,,,,,,,,SAIA MOTOR FREIGHT LINE,P.O. BOX 730532,,DALLAS,TX,75373,0,,,1200,,0,0,0,N10,Best Way,N,P,OI,N,,,,0,0,Call,,,,0,0,0,0,0,0,0,0,Cur,N,0,0,,,,,9/21/2007,8/14/2009 1:36:47 PM,CMS,8/25/2009 4:24:29 PM,JACKIE,N,10023
1SAMDI,AP,SAM'S CLUB DISCOVER,P.O. BOX 960016,,ORLANDO,FL,32896-0016,,,,,,,,,,,,SAM'S CLUB DISCOVER,P.O. BOX 960016,,ORLANDO,FL,32896-0016,0,,,1200,,0,0,0,N10,Best Way,N,P,OI,N,,,,0,0,Call,,,,0,0,0,0,0,0,0,0,Cur,N,0,14,,,,9/28/2017,10/3/2017,8/14/2009 1:36:47 PM,CMS,2/6/2012 8:38:10 AM,JACKIE,N,10024
