ItemCode,ItemDescription,ItemExtendedDescription,ItemType,WHCode,WHDescription,StockUnit,BinNumber,ReorderPoint,LinePoint,ReorderQty,StockLevel,ShippedStock,ReceivedStock,StockOnHand,ReservedStock,StockAvailable,ItemAveUnitCost,StockValue,OnOrderFlag,OnOrderDate,OnOrderPONumber,OnOrderQty,OnOrderUnitCost,OnOrderExpectDate,OnOrderVendorAcct,OnOrderVendorName,TotalOnOrderQty,LastReceiveDate,LastReceivePONumber,FirstSaleDate,LastSaleDate,ReorderInfoCalcFlag,WHAveDayUsage,TransferInfoCalcFlag,TransferPoint,TransferQty,ItemID,WHID,VendorID,
[GOJ972112-EA,"DISPENSER,800ML MICREL WE(9J )",,I,*MAIN,Main Warehouse,EA,,0,0,0,10,0,0,10,0,10,7.91,79.1,N,,,0,0,,0,(No Supplier Assigned),0,2/6/2023,214417,,,N,0,N,0,0,101484,1,0,
[JRVTM20-BX,"TEASPOON,HVY-MED WT      (9J )",,N,*MAIN,Main Warehouse,BX,,0,0,0,-1,0,0,-1,0,-1,3.41,-3.41,N,,,0,0,,0,(No Supplier Assigned),0,,,3/14/2025,3/14/2025,N,0,N,0,0,101721,1,0,
ID-TGC7110-CS,RJ8 TILE & GROUT REJUVENATOR,CLEANER 12/1QT/CS RTU,N,*MAIN,Main Warehouse,cs,,0,0,0,0,0,0,0,0,0,45.95,0,N,,,0,0,,0,(No Supplier Assigned),0,,,,,N,0,N,0,0,102769,1,10306,
ID-BAG GK10-500,#10 BROWN GROCERY BAG,500/BUNDLE,I,*MAIN,Main Warehouse,BN,5,0,0,0.1945,1,0,0,1,0,1,21.1767,21.18,N,,,0,0,,0,(No Supplier Assigned),0,7/23/2025,215697,11/13/2009,1/26/2026,Y,0.0111,N,0,0,104326,1,10306,
BOX-101010S-EA,CORRUGATED BOX SCORED 10x10x10,"@ 8""& 6""",I,*MAIN,Main Warehouse,EA,A-2,3.1253,1.0418,1.389,75,0,0,75,0,75,0.567,42.53,N,,,0,0,,0,(No Supplier Assigned),0,9/16/2025,215773,10/29/2009,11/5/2025,Y,0.2778,N,0,0,104329,1,10067,
BOX-1086-EA,CORRUGATED BOX,10X8X6,I,*MAIN,Main Warehouse,EA,A-2,0.8333,0.8333,2.222,475,0,0,475,0,475,0.4903,232.89,N,,,0,0,,0,(No Supplier Assigned),0,2/11/2025,215447,10/16/2009,11/5/2025,Y,0.3,N,0,0,104332,1,10067,
ID-BAG GK12-500,#12 BROWN GROCERY BAG,500/BUNDLE,I,*MAIN,Main Warehouse,BN,5,0,0,0.25,2,0,0,2,0,2,22.68,45.36,N,,,0,0,,0,(No Supplier Assigned),0,3/24/2026,216058,10/9/2009,3/25/2026,Y,0.0389,N,0,0,104334,1,10306,
12X10X8-EA,CORRUGATED BOX,,I,*MAIN,Main Warehouse,EA,A-2,1,1,3,50,0,0,50,0,50,0.412,20.6,N,,,0,0,,0,(No Supplier Assigned),0,2/3/2015,208075,12/4/2009,1/26/2015,Y,0,N,0,0,104335,1,10098,
BOX-121212S-EA,CORRUGATED BOX 12x12x12 SCORED,"@10""&8""",I,*MAIN,Main Warehouse,EA,A-2,3.1253,1.0418,1.389,125,0,0,125,0,125,0.9483,118.54,N,,,0,0,,0,(No Supplier Assigned),0,1/31/2025,215424,10/21/2009,4/1/2026,Y,1.3611,N,0,0,104336,1,10067,
12X12X4-EA,CORRUGATED BOX,,I,*MAIN,Main Warehouse,EA,A-2,1,1,3,25,0,0,25,0,25,0.448,11.2,N,,,0,0,,0,(No Supplier Assigned),0,2/3/2015,208075,1/26/2015,4/17/2015,Y,0,N,0,0,104337,1,10098,
BOX-12126-EA,CORRUGATED BOX 12X12X6,,I,*MAIN,Main Warehouse,EA,A-2,6.9998,6.9998,18.666,5,0,0,5,0,5,0.7492,3.75,N,,,0,0,,0,(No Supplier Assigned),0,9/10/2024,215251,9/18/2009,1/13/2026,Y,0.8889,N,0,0,104339,1,10067,
BOX-1266S-EA,CORRUGATED BOX 12X6X6,"SCORED@ 4""& 2""",I,*MAIN,Main Warehouse,EA,A-2,2.4998,2.4998,3.333,7,0,0,7,0,7,0.31,2.17,N,,,0,0,,0,(No Supplier Assigned),0,10/2/2013,205872,1/15/2010,6/17/2024,Y,0,N,0,0,104340,1,10067,
BOX-14118-EA,CORRUGATED BOX 14X11X8,,I,*MAIN,Main Warehouse,EA,A-2,9.3758,3.1253,8.334,150,0,0,150,0,150,0.9971,149.57,N,,,0,0,,0,(No Supplier Assigned),0,2/17/2026,215994,9/24/2009,1/28/2026,Y,0.4167,N,0,0,104343,1,10067,
BOX-141414S-EA,CORRUGATED BOX SCORED,"14X14X14S @12""&10""",I,*MAIN,Main Warehouse,EA,A-2,35.6243,11.8748,15.833,106,0,0,106,0,106,1.4164,150.14,N,,,0,0,,0,(No Supplier Assigned),0,2/18/2026,215987,9/16/2009,3/23/2026,Y,1.3611,N,0,0,104344,1,10067,
15-12X3X25-EA,15-1/2X3X25 CORRUGATED CARTON,(CLOSEOUT),I,*MAIN,Main Warehouse,EA,A-2,0,0,0,69,0,0,69,0,69,0,0,N,,,0,0,,0,(No Supplier Assigned),0,,,,,Y,0,N,0,0,104345,1,0,
BOX161616-SC-EA,"CORRUGATED BOX SCORED @14""&12""",,I,*MAIN,Main Warehouse,EA,A-2,4,4,8,0,0,0,0,0,0,1.566,0,N,,,0,0,,0,(No Supplier Assigned),0,7/29/2021,213514,9/15/2009,12/10/2020,Y,0,N,0,0,104347,1,10067,
BOX-181212S-EA,CORRUGATED BOX 18x12x12,"SCORED @ 6"",8"" & 10""",I,*MAIN,Main Warehouse,EA,A-2,12.501,4.167,5.556,0,0,0,0,0,0,1.567,0,N,,,0,0,,0,(No Supplier Assigned),0,10/22/2025,215818,9/15/2009,10/17/2025,Y,0,N,0,0,104349,1,10067,
BOX-181818-EA,CORRUGATED BOX 18x18x18,,I,*MAIN,Main Warehouse,EA,A-2,23.3753,7.7918,10.389,193,0,0,193,10,183,1.8764,362.15,N,,,0,0,,0,(No Supplier Assigned),0,2/18/2026,215987,10/27/2009,3/23/2026,Y,0.5,N,0,0,104351,1,10067,
BOX-202020-EA,CORRUGATED BOX 20X20X20,,I,*MAIN,Main Warehouse,EA,A-2,15.0008,5.0003,13.334,110,0,0,110,0,110,2.3999,263.99,N,,,0,0,,0,(No Supplier Assigned),0,2/11/2025,215447,9/14/2009,3/23/2026,Y,0.1111,N,0,0,104356,1,10067,
BOX241212-EA,CORRUGATED BOX,24X12X12,I,*MAIN,Main Warehouse,EA,A-2,0.3749,0.3749,0.833,313,0,0,313,0,313,1.1622,363.77,N,,,0,0,,0,(No Supplier Assigned),0,10/2/2024,215292,9/14/2009,12/14/2023,Y,0,N,0,0,104373,1,10067,
24X17X17-EA,CORRUGATED BOX,,I,*MAIN,Main Warehouse,EA,A-2,3,3,8,319,0,0,319,0,319,1.565,499.24,N,,,0,0,,0,(No Supplier Assigned),0,2/14/2020,212752,11/23/2009,3/23/2020,Y,0,N,0,0,104374,1,10098,
